Hour,Month,WindSpeed,WindDir,Rain,Power
21,5,0.4,E,0,-0.5
10,6,4.9,NNW,0,72.3
20,1,0.9,SE,0,65.6
7,9,0,---,0,102.2
19,2,1.8,SW,0,84.2
10,3,2.2,WSW,0,47.3
0,7,7.2,ENE,0,108.7
16,1,2.7,W,0,28.2
4,6,0.9,N,0,12.2
18,1,2.7,SW,0,101.8
10,11,1.8,SSE,0,46.5
0,6,0,W,0,79.9
14,7,1.3,SW,0,42.3
0,11,0.4,ENE,0,0.4
9,1,4.5,ENE,0,62.2
22,5,1.3,NW,0,19.6
11,3,1.3,NE,0,0.1
4,7,1.3,E,0,36
12,1,0.9,WSW,0,6.9
20,2,1.8,SW,0,29.1
17,10,4.5,WNW,0,74.8
1,7,1.3,E,0,87.9
22,8,2.2,W,0,107.8
6,4,2.7,ENE,0,41.2
7,4,2.2,ENE,0,70.5
14,11,3.6,NW,0,36
9,12,4,NNW,0,59.1
8,8,0.4,WSW,0,34.5
2,11,2.2,ENE,0,42.7
12,8,3.6,SW,0,33
19,12,1.3,SE,0,24.8
4,12,0,---,0,95.9
21,3,0,ENE,0,19.6
12,12,0.9,WSW,0,-0.7
22,10,0.9,ESE,0,23.4
9,11,2.7,NE,0,15.9
5,2,0,---,0,60.6
11,1,3.1,NW,0,19.7
19,11,3.1,SSE,0,68.4
3,3,0,---,0,35.8
13,1,1.3,NE,0,-1
20,9,0,---,0,33.5
17,6,1.8,NW,0,21.8
7,3,0,---,0,98.8
13,10,2.7,SSE,0,52.6
11,1,1.8,ENE,0,5.6
12,2,1.8,E,0,32.2
20,10,0,---,0,1.2
7,2,0,---,0,47.6
17,8,2.2,SW,1.2,79.7
1,1,2.2,E,0,67.9
18,7,0,---,0,0.1
17,8,0.4,WSW,0,46.7
18,12,4,NNW,0,39.1
13,3,0,---,0,17
22,12,0,---,0,72.8
3,1,4,ENE,0,76.4
0,8,4,ENE,0,69.8
13,5,0.4,E,0,0.2
19,11,1.8,W,0,104.7
4,2,2.2,NE,0,11.4
12,2,0,---,0,12.5
23,8,2.7,NNW,0,45.7
6,5,0,WSW,0,-0.5
5,9,0.9,NE,0,-0.2
0,12,0,---,0,49.3
3,7,0,---,0,87.3
7,5,1.3,NW,0,44.4
0,5,2.7,NE,0,70.5
20,10,0,NE,0,3.2
0,2,1.3,E,0,59.9
20,2,1.8,SW,0,91.9
11,6,0,---,0,59.9
14,6,1.3,WSW,0,16.5
21,4,2.2,NNE,0,33.5
6,11,3.1,NNE,0,94.7
2,9,0,WSW,0,43.9
11,9,1.8,SW,0,34.5
23,4,3.6,NW,0,53.9
16,2,0,---,0,19.5
3,5,2.7,NE,0,32
5,10,0.4,SW,0,7.3
21,1,2.2,NE,0,24.3
22,9,3.6,NNW,0,78.8
0,6,0.4,NNW,0,7.5
10,7,0.9,NW,0,7.2
11,8,1.8,WSW,0,45.2
21,6,4.5,N,0,82.7
3,4,0.4,NE,0,6.8
16,6,0.9,NE,0,3.8
4,5,2.7,ENE,0,23.3
3,9,0,---,0,28.5
23,2,1.8,NE,0,16.9
1,12,0,---,0,41.3
0,3,0,---,0,1
4,5,1.3,NNW,0,14.8
1,4,2.7,ENE,0,53.7
8,8,2.7,NNW,0,56.3
20,5,2.2,NE,0,19.2
10,11,2.2,NE,0,34.9
2,1,3.6,ENE,0,78.9
14,11,2.7,W,0,62.2
