Hour,Month,WindSpeed,WindDir,Rain,Power
16,1,1.3,SE,0,0.4
5,7,1.8,NNW,0,4.7
17,7,2.7,WSW,0,4.7
15,11,4.9,SSW,0,18.3
2,9,2.2,NE,0,15.8
22,8,0,---,0,2.6
0,9,1.3,WSW,0,3.7
12,12,3.1,ENE,0,3.9
13,12,2.7,W,0,8.2
5,3,1.3,SE,0,3
10,1,4.9,NE,0,8.4
13,6,2.7,NE,0,0
9,10,3.6,S,0,30.6
23,5,1.8,SW,0,4.7
8,7,0.9,NE,0,11.2
22,6,5.4,NE,0,46.8
18,1,1.3,S,0,4.1
23,3,0.9,WSW,0,0.2
19,9,10.3,WSW,0,42.3
3,10,2.2,NE,0,35.4
17,5,5.4,NW,0,43.3
10,8,9.8,W,0,30.8
17,10,2.2,SW,0,16.3
0,6,0,E,0,28
7,5,13.9,WSW,0,50.8
17,6,1.8,S,0,27.3
11,8,4.5,NNW,0,35.1
0,7,12.5,W,0,44.7
4,9,0.9,NE,0,0
22,4,2.7,NE,0,34.1
0,8,1.3,NNE,0,17
1,1,2.7,NE,0,14.2
16,8,4.9,NNW,0,18.3
22,3,0.4,SSW,0,4.5
19,6,0.4,E,0,5.7
10,10,0.4,ESE,0,0.1
21,6,0.4,E,0,9.8
13,5,1.8,NNE,0,0
3,7,1.8,N,0,14.4
23,7,2.2,NE,0,0.2
18,8,3.1,WSW,0,0.6
17,4,2.2,SSW,0,1
20,11,0.4,SW,0,0
13,4,0.4,SW,0,0.1
2,8,10.3,NW,0,38
13,2,2.2,SW,0,0.4
13,6,4.5,NNE,0,22.5
11,11,0.4,WSW,0,8
10,11,5.4,NE,0,4
3,9,1.8,NE,0,-0.1
12,7,1.8,N,0,37.7
12,4,5.4,WNW,0,41.6
21,10,0.9,NE,0,0
14,11,3.6,WSW,0,0
14,2,3.1,NNE,0,0
20,8,2.7,WSW,0,27.2
20,3,0,SW,0,0.1
0,9,1.3,NE,0,18.5
19,4,0.4,ESE,0,0
10,7,8,W,0,34.7
9,8,8.5,NNE,0,50.5
11,1,1.3,SSE,0,0
13,6,8,NE,0,36.2
12,1,2.2,S,0,0.7
20,7,0,---,0,0.1
21,3,0.4,ENE,0,1.6
23,2,0,SSW,0,3.1
16,3,6.3,WSW,0,41.1
19,8,9.8,WSW,0,50.8
16,4,1.8,W,0,0
14,6,6.3,NNE,0,4.7
18,9,1.3,N,0,4.7
9,9,13,N,0,35.9
9,4,2.7,NE,0,0.4
16,12,5.8,WSW,0,19.6
13,9,4,WSW,0,12.4
0,6,2.2,ENE,0,3.6
3,12,0.9,NW,0,1.3
1,7,2.2,ENE,0,1.1
13,7,8.9,NNE,0,18.5
11,5,2.7,SSW,0,4.1
5,1,1.3,S,0,15.7
1,4,5.8,W,0,34.7
12,12,4.5,NE,0,4.8
1,11,3.1,NE,0,0.9
20,6,1.8,S,0,31.4
8,1,1.3,ESE,0,4.6
19,8,0.9,SSW,0,5.6
17,2,6.7,SSW,0,47.9
9,1,1.3,S,0,10.8
12,8,7.2,W,0,48.6
9,8,5.4,SW,0,50.6
4,2,1.8,SSW,0,21
9,3,3.6,SW,0,33
7,12,0.4,NE,0,0.1
18,10,7.2,WNW,0,39.8
10,6,7.2,NE,0,28
12,3,1.8,WNW,0,2
16,7,4.9,WSW,0,13.9
13,1,5.8,WNW,0,34.2
22,11,2.2,SW,0,41.1
7,3,1.3,NE,0,6
6,6,0.9,S,0,9.3
9,12,4,WNW,0,19.4
4,6,3.1,NE,0,16.7
23,1,1.8,SE,0,39.1
0,7,5.8,WNW,0,38.1
12,6,3.1,WNW,0,0.2
3,6,0,---,0,5.2
17,8,3.1,WSW,0,5.6
23,9,0,---,0,4.6
14,9,2.7,N,0,0
14,6,4,WNW,0,22.3
4,6,1.8,NE,0,15.7
4,8,10.3,N,0,44.2
12,7,3.1,WSW,0,1.7
22,7,1.8,N,0,16.8
5,6,2.2,NW,0,13.7
7,7,3.1,SW,0,22.3
1,9,5.8,NNE,0,52.4
16,7,1.8,N,0,37.8
21,7,0.9,W,0,6.1
15,7,2.7,NW,0,8.4
23,10,1.3,NE,0,23.8
0,5,0,WSW,0,0.3
19,3,2.2,SSW,0,9.1
6,3,0,---,0,0
16,5,3.1,NE,0,0.6
0,9,5.4,N,0,49.9
6,11,1.3,NE,0,0.1
2,4,0.9,NE,0,6.7
5,8,7.2,W,0,47.3
10,3,4.5,W,0,40.1
5,7,1.8,N,0,25
2,5,4.9,NE,0,42
7,10,1.8,ENE,0,34.6
8,5,1.3,W,0,2.9
11,11,0.9,NE,0,0
4,5,4.9,N,0,44.2
22,7,1.8,ENE,0,38.2
13,3,2.7,NE,0,0.2
7,9,2.2,NE,0,2.4
0,8,5.8,WNW,0,47.5
0,9,2.7,NE,0,36.4
21,7,0.4,S,0,9.2
3,8,4.5,NNW,0,46
17,10,1.3,ESE,0,14.3
16,7,3.6,SW,0,9.1
21,3,1.3,SW,0,6.7
2,7,1.8,NW,0,44
6,8,4.5,W,0,21.5
7,8,2.7,NE,0,17.2
3,3,0,S,0,4.4
19,10,4.5,SSW,0,17
2,10,0.4,NNE,0,5.2
5,7,0.9,ESE,0,26.9
1,10,3.6,NE,0,33.7
7,3,2.2,SW,0,27.4
5,8,8.9,WSW,0.2,40.1
